genero,rangoedad,estado,Actividad,condicion,grupoetnico,tipoevento,Ubicación,municipio,departamento,sitio,latitudcabecera,longitudcabecera,tipoarea,ano,mes,codigodanemunicipio,codigodanedepartamento
Hombre,Mayor de 18 anos,Herido,"Pasando, estando cerca",Civil,no,Sin informacion,"(6.143703, -75.185183)",GRANADA,ANTIOQUIA,Sin informacion,6.143703,-75.185183,Rural,2006,1,5313,5
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(1.49494421255, -75.4630895064)",MONTANITA,CAQUETA,Sin informacion,1.49494421255,-75.4630895064,Rural,2009,12,18410,18
Hombre,Mayor de 18 anos,Muerto,Erradicador manual - PCI,Civil,no,Sin informacion,"(0.502569, -76.49818)",PUERTO ASIS,PUTUMAYO,Sin informacion,0.502569,-76.49818,Rural,2008,4,86568,86
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(7.883545, -75.670508)",PUERTO LIBERTADOR,CORDOBA,Sin informacion,7.883545,-75.670508,Rural,2009,11,23580,23
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(7.883545, -75.670508)",PUERTO LIBERTADOR,CORDOBA,Sin informacion,7.883545,-75.670508,Rural,2009,11,23580,23
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(7.883545, -75.670508)",PUERTO LIBERTADOR,CORDOBA,Sin informacion,7.883545,-75.670508,Rural,2009,11,23580,23
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(7.883545, -75.670508)",PUERTO LIBERTADOR,CORDOBA,Sin informacion,7.883545,-75.670508,Rural,2009,11,23580,23
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(1.5875, -78.2275)",BARBACOAS,NARINO,Vereda Santa Lucia,1.5875,-78.2275,Rural,2010,1,52079,52
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(7.372777777777777, -75.20444444444445)",TARAZA,ANTIOQUIA,Quebrada Iraca,7.372777777777777,-75.20444444444445,Rural,2010,1,5790,5
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(7.165222, -75.438081)",VALDIVIA,ANTIOQUIA,Sin informacion,7.165222,-75.438081,Rural,2008,3,5854,5
Hombre,Menor de 18 anos,Muerto,Sin Informacion,Civil,Indigena,En cerca a edificio residencial,"(2.955399, -76.268615)",TORIBIO,CAUCA,Vereda Vichiqui,2.955399,-76.268615,Rural,2009,8,19821,19
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(7.165222, -75.438081)",VALDIVIA,ANTIOQUIA,Sin informacion,7.165222,-75.438081,Rural,2008,3,5854,5
Hombre,Menor de 18 anos,Herido,Sin Informacion,Civil,Indigena,En cerca a edificio residencial,"(2.955399, -76.268615)",TORIBIO,CAUCA,Vereda Vichiqui,2.955399,-76.268615,Rural,2009,8,19821,19
Mujer,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(1.225, -77.68)",SANTA CRUZ,NARINO,Sin informacion,1.225,-77.68,Rural,2009,7,52699,52
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(7.274352, -75.382426)",VALDIVIA,ANTIOQUIA,Sin informacion,7.274352,-75.382426,Urbana,2009,4,5854,5
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(7.165222, -75.438081)",VALDIVIA,ANTIOQUIA,Sin informacion,7.165222,-75.438081,Rural,2008,3,5854,5
Mujer,Mayor de 18 anos,Muerto,Transito por via usual,Civil,Indigena,Sin informacion,"(1.212529, -77.995412)",RICAURTE,NARINO,Sin informacion,1.212529,-77.995412,Rural,2009,12,52612,52
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(2.255, -71.7891666666667)",EL RETORNO,GUAVIARE,Tomachipan,2.255,-71.7891666666667,Rural,2009,10,95025,95
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(2.255, -71.7891666666667)",EL RETORNO,GUAVIARE,Tomachipan,2.255,-71.7891666666667,Rural,2009,10,95025,95
Hombre,Mayor de 18 anos,Herido,Cuidado de animales,Civil,no,Sin informacion,"(3.380464, -73.878772)",SAN JUAN DE ARAMA,META,Sin informacion,3.380464,-73.878772,Rural,2009,12,50683,50
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(8.639326, -72.735541)",TIBU,NORTE DE SANTANDER,Sin informacion,8.639326,-72.735541,Rural,2009,9,54810,54
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(8.639326, -72.735541)",TIBU,NORTE DE SANTANDER,Sin informacion,8.639326,-72.735541,Rural,2009,9,54810,54
Hombre,Mayor de 18 anos,Herido,Erradicador manual - PCI,Civil,no,Sin informacion,"(8.639326, -72.735541)",TIBU,NORTE DE SANTANDER,Sin informacion,8.639326,-72.735541,Rural,2009,9,54810,54
